,Desc_word_count,channelSubscribers,dayslive,mean_energy_entropy,mean_spectral_entropy,Description_ne_counts,Title_ne_counts,tags_composer,Title_composer,Description_composer,tags_artists,Title_artists,Description_artists,tags_instruments,Title_instruments,Description_instruments,tags_genres,Title_genres,Description_genres,tags_count,Title_pos,Description_pos,tags_pos,mfccPC1,mfccPC2,views_cat,viewCount
1455,28,33840.0,858.265011574074,3.0626135121690674,0.3564537267966094,7,14,0,1,2,0,1,2,1,1,2,0,0,0,9,0.0,0.0361111111111111,0.0,2.2221878199934,2.500948063610244,3,62240.0
1456,22,2180.0,382.49327546296297,3.1503788498069776,0.2590592864883873,6,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.13636363636363635,0.0,4.488215760712555,-0.471575559489688,1,771.0
1457,27,1.0,425.37283564814817,3.1561713937166127,0.0530260424708732,14,5,0,0,5,0,0,0,0,1,1,0,0,0,2,0.0,0.0,0.0,0.039325211056244154,0.3625512548050314,0,0.0
1458,5,96.0,1451.1402314814816,3.1714462560480934,0.22616446515545774,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.570448117625828,-2.4496527966050143,2,6009.0
1459,31,24.0,2278.2917361111113,3.107334638827842,0.5819861824370441,11,13,0,1,1,0,0,0,1,2,1,0,0,0,8,0.0,0.05,0.0,4.961191785253762,0.7886090641456087,2,12437.0
1460,28,27.0,1283.4707291666666,3.252658058722839,0.4860071010974786,16,5,0,0,5,0,0,0,0,0,0,0,0,0,1,0.0625,0.08125,0.0,1.3140986148860023,1.1764414730332013,0,10.0
1461,7,1337.0,687.0883217592593,3.1392377186462683,0.2288991869771067,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,-3.4979564245441677,-0.5788551858994779,2,2081.0
1462,22,487.0,1854.010486111111,3.2190367599161003,0.3715722903895177,12,8,0,0,0,1,0,0,0,1,2,0,0,0,24,-0.05,-0.05,-0.008333333333333333,-2.266536089716915,0.5038185047663439,2,10614.0
1463,25,178.0,3476.9826504629627,3.20068075636164,0.6004003705113983,13,1,2,1,1,3,0,3,1,0,1,0,0,0,24,0.0,0.0,0.0,1.954717317298749,2.4886868521729864,3,41229.0
1464,23,6308.0,2427.6014814814816,3.2178038560869986,0.7867015253619021,13,6,1,1,1,0,0,0,1,0,1,0,0,0,10,0.0,0.13636363636363635,0.0,-2.0452677436053297,0.8324667120642586,2,2106.0
1465,0,1959.0,247.26197916666666,3.060597698906433,0.3998410378773975,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7291194395482521,1.1593819324648635,1,348.0
